"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","625bd628bbe7",,,,"User:","root"
"Cmdline:","dstat -Ta --noupdate --noheader --vmstat --output /root/dstat_logs//dstat-1537970409.log 10",,,,"Date:","26 Sep 2018 14:00:09 UTC"

"epoch","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,
"epoch","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq"
1537970409.343,11.986,4.918,79.471,3.596,0.0,0.028,1248706.717,13629569.275,0.0,0.0,0.0,0.0,2976.080,2992.644,0.003,0.0,105.758,327749632.0,109375488.0,1501609984.0,2006851584.0,0.0,0.0,1248706.717,13629569.275,2976.080,2992.644,11.986,4.918,79.471,3.596,0.0,0.028
1537970419.353,0.600,0.100,99.300,0.0,0.0,0.0,0.0,0.0,55.800,48.0,0.0,0.0,123.400,172.800,0.0,0.0,0.700,341352448.0,109375488.0,1501630464.0,1993228288.0,0.0,0.0,0.0,0.0,123.400,172.800,0.600,0.100,99.300,0.0,0.0,0.0
1537970429.354,0.0,0.150,91.575,8.275,0.0,0.0,0.0,33991065.600,0.0,0.0,0.0,0.0,275.200,214.100,0.0,0.0,0.0,342011904.0,109379584.0,1501638656.0,1992556544.0,0.0,0.0,0.0,33991065.600,275.200,214.100,0.0,0.150,91.575,8.275,0.0,0.0
1537970439.353,0.0,0.0,99.649,0.351,0.0,0.0,0.0,5815500.800,0.0,0.0,0.0,0.0,100.700,126.700,0.0,0.0,0.0,341880832.0,109379584.0,1501638656.0,1992687616.0,0.0,0.0,0.0,5815500.800,100.700,126.700,0.0,0.0,99.649,0.351,0.0,0.0
1537970449.354,0.0,0.050,99.950,0.0,0.0,0.0,0.0,385843.200,0.0,0.0,0.0,0.0,68.400,104.400,0.0,0.0,0.0,341749760.0,109383680.0,1501638656.0,1992814592.0,0.0,0.0,0.0,385843.200,68.400,104.400,0.0,0.050,99.950,0.0,0.0,0.0
1537970459.354,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.100,95.700,0.0,0.0,0.0,341749760.0,109383680.0,1501638656.0,1992814592.0,0.0,0.0,0.0,0.0,61.100,95.700,0.0,0.0,100.0,0.0,0.0,0.0
1537970469.354,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.300,97.0,0.0,0.0,0.0,341753856.0,109383680.0,1501638656.0,1992810496.0,0.0,0.0,0.0,0.0,60.300,97.0,0.0,0.0,100.0,0.0,0.0,0.0
1537970479.354,0.0,0.0,99.950,0.050,0.0,0.0,0.0,380108.800,0.0,0.0,0.0,0.0,71.900,105.500,0.0,0.0,0.0,341749760.0,109387776.0,1501638656.0,1992810496.0,0.0,0.0,0.0,380108.800,71.900,105.500,0.0,0.0,99.950,0.050,0.0,0.0
1537970489.354,0.0,0.0,100.0,0.0,0.0,0.0,0.0,819.200,0.0,0.0,0.0,0.0,56.700,91.100,0.0,0.0,0.0,341749760.0,109387776.0,1501638656.0,1992810496.0,0.0,0.0,0.0,819.200,56.700,91.100,0.0,0.0,100.0,0.0,0.0,0.0
1537970499.353,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.200,92.900,0.0,0.0,0.0,341749760.0,109387776.0,1501638656.0,1992810496.0,0.0,0.0,0.0,0.0,58.200,92.900,0.0,0.0,100.0,0.0,0.0,0.0
